split,seed,coverage,method,fault_kind,source_hidden,magnitude,threshold,target_fpr,n_windows_during,detection_rate,detected_episode,top1,within1,median_station_error,lead_time_min,top1_episode,within1_episode,false_alarm_rate,first_alert_t_s,first_correct_alert_t_s
test,5001,0.5,RippleTwin,QUALITY_DRIFT,True,13.6887759257169,39.99294167411538,0.02,71,0.014084507042253521,1.0,0.0,0.0,12.0,,0.0,0.0,0.0,46317.91007441677,
test,5001,0.5,RippleTwin,QUALITY_DRIFT,True,13.6887759257169,39.99294167411538,0.05,71,0.028169014084507043,1.0,0.0,0.0,11.5,,0.0,0.0,0.0,46014.42664168416,
test,5001,0.5,RippleTwin,QUALITY_DRIFT,True,13.6887759257169,39.99294167411538,0.1,71,0.07042253521126761,1.0,0.0,0.0,10.0,,0.0,0.0,0.08943089430894309,37329.14935726001,
test,5001,0.5,B2_observed_only_twin,QUALITY_DRIFT,True,13.6887759257169,39.987745614480566,0.005,71,0.0,0.0,,,,,0.0,0.0,0.0,,
test,5001,0.5,B2_observed_only_twin,QUALITY_DRIFT,True,13.6887759257169,39.987745614480566,0.01,71,0.0,0.0,,,,,0.0,0.0,0.0,,
test,5001,0.5,B2_observed_only_twin,QUALITY_DRIFT,True,13.6887759257169,39.987745614480566,0.02,71,0.014084507042253521,1.0,0.0,0.0,11.0,,0.0,0.0,0.0,46317.91007441677,
test,5001,0.5,B2_observed_only_twin,QUALITY_DRIFT,True,13.6887759257169,39.987745614480566,0.05,71,0.04225352112676056,1.0,0.0,0.0,11.0,,0.0,0.0,0.0,46014.42664168416,
test,5001,0.5,B2_observed_only_twin,QUALITY_DRIFT,True,13.6887759257169,39.987745614480566,0.1,71,0.1267605633802817,1.0,0.0,0.0,9.0,,0.0,0.0,0.11382113821138211,37029.793365640886,
test,5001,0.5,B0_SPC_observed,QUALITY_DRIFT,True,13.6887759257169,5.012127239822025,0.005,71,0.0,0.0,,,,,0.0,0.0,0.0,,
test,5001,0.5,B0_SPC_observed,QUALITY_DRIFT,True,13.6887759257169,5.012127239822025,0.01,71,0.0,0.0,,,,,0.0,0.0,0.0,,
test,5001,0.5,B0_SPC_observed,QUALITY_DRIFT,True,13.6887759257169,5.012127239822025,0.02,71,0.0,0.0,,,,,0.0,0.0,0.0,,
test,5001,0.5,B0_SPC_observed,QUALITY_DRIFT,True,13.6887759257169,5.012127239822025,0.05,71,0.0,0.0,,,,,0.0,0.0,0.0,,
test,5001,0.5,B0_SPC_observed,QUALITY_DRIFT,True,13.6887759257169,5.012127239822025,0.1,71,0.0,0.0,,,,,0.0,0.0,0.008130081300813009,,
test,5001,0.5,B1_IsolationForest,QUALITY_DRIFT,True,13.6887759257169,0.7423023198141773,0.005,71,0.0,0.0,,,,,0.0,0.0,0.024390243902439025,,
test,5001,0.5,B1_IsolationForest,QUALITY_DRIFT,True,13.6887759257169,0.7423023198141773,0.01,71,0.0,0.0,,,,,0.0,0.0,0.04065040650406504,,
test,5001,0.5,B1_IsolationForest,QUALITY_DRIFT,True,13.6887759257169,0.7423023198141773,0.02,71,0.0,0.0,,,,,0.0,0.0,0.06504065040650407,,
